RA,Dec,pop,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r,U,F378,F395,F410,F430,G,F515,R,F660,I,F861,Z,err_U,err_Z,err_F378,err_F395,err_F410,err_F430,err_F515,err_F660,err_F861,err_G,err_I,err_R
154.484738,-46.382716,1.0,8.334121,0.029039,-2.005517,0.029028,15.784469,16.368792,15.038013,0.133276,0.029911,228.556755,16.042662,16.035707,16.186702,16.229687,16.189248,15.685865,15.368558,14.775115,14.511859,14.189661,13.929127,13.830247,0.031,0.029,0.03,0.033,0.042,0.045,0.041,0.018,0.028,0.016,0.049,0.032
154.500298,-46.385577,1.0,8.762354,0.034322,-1.987774,0.033261,15.230002,15.397037,14.001909,0.192181,0.034238,259.282184,14.975737,14.974452,15.083109,15.191921,15.079569,14.401773,14.118074,13.45904,13.270903,12.891491,12.663191,12.481324,0.08,0.105,0.079,0.084,0.085,0.073,0.095,0.08,0.085,0.095,0.088,0.085
154.491242,-46.371013,1.0,8.526965,0.05155,-1.888067,0.054089,16.874939,17.38738,16.09871,0.134797,0.053463,264.256206,16.861175,16.868275,16.932761,17.12133,17.073179,16.673727,16.290561,15.826068,15.513559,15.175842,15.044359,14.827288,0.045,0.047,0.076,0.078,0.042,0.054,0.045,0.033,0.034,0.017,0.069,0.03
154.466592,-46.373928,0.0,8.397728,0.050385,-1.81897,0.050209,16.84671,17.364323,16.0904,0.158508,0.052711,209.426284,16.957175,17.071275,16.939761,17.18733,17.054179,16.635727,16.343561,15.719068,15.528559,15.203842,14.953359,14.955288,0.047,0.035,0.045,0.065,0.047,0.055,0.035,0.02,0.039,0.013,0.066,0.038
154.475783,-46.376174,0.0,8.499715,0.027371,-1.75791,0.026795,15.507609,16.113403,14.739356,0.172893,0.026784,222.169429,15.836175,15.793275,15.801761,16.05033,15.930179,15.315727,15.044561,14.431068,14.180559,13.899842,13.618359,13.495288,0.025,0.018,0.028,0.043,0.042,0.048,0.033,0.015,0.031,0.014,0.048,0.032
154.479021,-46.376658,0.0,8.286037,0.028147,-1.937017,0.027979,15.595078,16.12777,14.779315,0.197746,0.028296,227.728972,15.832175,15.809275,15.793761,15.97833,15.920179,15.382727,15.064561,14.411068,14.192559,13.896842,13.620359,13.471288,0.031,0.042,0.058,0.06,0.044,0.042,0.047,0.026,0.032,0.034,0.047,0.034
154.472303,-46.370912,1.0,8.494563,0.036146,-1.993459,0.037629,15.266404,15.835689,14.46664,0.21656,0.038408,227.24781,15.563175,15.539275,15.629761,15.67033,15.607179,15.093727,14.787561,14.160068,13.911559,13.582842,13.319359,13.205288,0.02,0.03,0.03,0.038,0.035,0.038,0.025,0.023,0.027,0.021,0.049,0.031
154.466902,-46.370032,0.0,8.636738,0.037981,-2.088087,0.04117,15.697017,16.165451,14.768829,0.185121,0.040928,219.528341,15.872175,15.836275,15.900761,16.02933,15.941179,15.300727,15.012561,14.246068,14.031559,13.599842,13.454359,13.341288,0.062,0.111,0.077,0.084,0.046,0.054,0.071,0.074,0.088,0.08,0.088,0.081
154.478985,-46.363465,1.0,8.011208,0.046288,-1.921087,0.049365,16.669838,17.170092,15.956858,0.150072,0.046572,257.562978,16.621175,16.604275,16.761761,16.88533,16.800179,16.433727,16.103561,15.573068,15.370559,15.139842,14.857359,14.768288,0.041,0.024,0.029,0.066,0.04,0.054,0.036,0.014,0.028,0.014,0.066,0.029
154.474536,-46.368422,1.0,8.681278,0.043322,-1.950787,0.046258,16.656023,17.228083,15.91723,0.244902,0.045836,237.345589,16.790175,16.792275,16.938761,17.04433,16.948179,16.494727,16.159561,15.568068,15.345559,14.911842,14.679359,14.476288,0.034,0.062,0.041,0.081,0.056,0.044,0.041,0.019,0.031,0.022,0.056,0.034
