RA,Dec,pop,Z,err_Z,R,err_R,F378,err_F378,F395,err_F395,F410,err_F410,F430,err_F430,F515,err_F515,F660,err_F660,F861,err_F861,G,err_G,I,err_I,U,err_U,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r
6.108558,-72.11435,0.0,13.211999999999998,0.02,14.068000000000001,0.014,16.221,0.027,16.083,0.131,15.961,0.018,15.713000000000001,0.064,14.783999999999999,0.016,13.814,0.013,13.344999999999999,0.033,15.059000000000001,0.016,13.560000000000002,0.023,16.094,0.027,5.98773,0.021524,-1.827088,0.022602,14.349976,14.79661,13.648755,0.159238,0.01837,151.651941
5.891189,-72.11402,0.0,11.115,0.018,12.183,0.01,15.142999999999997,0.012,14.956,0.059,14.616000000000001,0.006,14.163,0.022,13.076,0.006,11.879000000000001,0.009,11.326999999999998,0.032,13.401,0.009,11.523,0.016,15.04,0.012,5.837943,0.012379,-2.832187,0.015237,12.460583,13.108775,11.671503,0.257741,0.012917,188.056258
5.95702,-72.11346,0.0,13.017000000000001,0.02,13.905000000000001,0.015,15.744999999999997,0.019,15.786999999999999,0.105,15.802000000000001,0.02,15.485,0.046,14.553999999999998,0.01,13.646999999999998,0.015,13.152000000000001,0.026,14.858,0.012,13.413,0.021,15.587,0.02,6.070856,0.04557,-3.257575,0.051279,14.236033,14.593453,13.469606,0.443453,0.052745,137.270813
6.4261,-72.1102,0.0,13.584999999999999,0.024,14.402000000000001,0.013,16.125,0.022,16.041999999999998,0.099,15.969,0.012,15.722000000000001,0.041,15.011,0.009,14.155999999999999,0.014,13.716000000000001,0.033,15.317999999999998,0.01,13.922,0.021,15.974,0.018,5.163819,0.023074,-2.156279,0.024801,14.689684,15.162488,14.049756,0.160614,0.020029,457.323584
5.904981,-72.11044,0.0,11.192,0.017,12.229000000000001,0.011,15.026999999999997,0.021,15.017,0.064,14.621,0.011,14.2,0.021,13.096,0.008,11.934000000000001,0.01,11.386,0.028,13.416,0.01,11.594000000000001,0.013,14.879000000000001,0.012,5.126151,0.013594,-3.02871,0.018392,12.556115,13.184423,11.760092,0.24841,0.013181,168.089975
6.18023,-72.11031,0.0,14.014000000000001,0.019,14.789000000000001,0.016,16.383,0.027,16.396,0.145,16.33,0.017,16.122,0.053,15.402000000000001,0.012,14.542000000000002,0.016,14.163999999999998,0.026,15.684999999999999,0.015,14.325,0.02,16.206,0.024,6.039642,0.059042,-1.931849,0.057827,15.173464,15.507322,14.455215,0.008975,0.049799,202.341789
5.929714,-72.10956,0.0,12.435999999999998,0.025,13.368,0.017,15.846999999999998,0.029,15.724,0.108,15.477000000000002,0.021,15.192,0.048,14.104,0.013,13.104,0.019,12.585999999999999,0.034,14.422999999999998,0.015,12.785,0.022,15.553,0.02,5.362484,0.018928,-2.701842,0.018295,13.593579,14.117093,12.86845,0.228408,0.016583,145.471011
5.886652,-72.10951,0.0,14.563,0.04,15.34,0.029,17.174,0.05,17.09,0.235,16.897,0.045,16.830000000000002,0.093,15.940000000000001,0.022,15.087,0.028,14.695999999999998,0.045,16.246,0.028,14.862000000000002,0.038,17.029,0.063,5.337327,0.04268,-3.193702,0.03539,15.532924,15.887191,14.839412,0.212227,0.035584,182.496599
5.995545,-72.10909,1.0,12.377,0.026,13.315,0.018,15.378999999999998,0.018,15.436999999999998,0.094,15.179,0.018,14.996000000000002,0.04,14.018999999999998,0.015,13.018,0.017,12.553,0.039,14.347999999999999,0.02,12.729,0.022,15.308,0.023,6.385329,0.048082,-2.500058,0.041738,13.580594,14.031446,12.812981,0.164831,0.041581,104.8345
6.080106,-72.10804,0.0,11.689,0.017,12.659,0.009,15.293,0.014,15.143,0.07,14.834000000000001,0.01,14.496000000000002,0.026,13.506,0.008,12.370000000000001,0.01,11.873999999999999,0.03,13.736999999999998,0.01,12.076,0.017,15.077000000000002,0.013,6.083007,0.031403,-2.34817,0.0246,12.96855,13.52657,12.197861,0.24612,0.023953,114.836069
6.07608,-72.10705,0.0,13.764000000000001,0.03,14.428,0.023,16.616999999999997,0.034,16.5,0.184,16.243000000000002,0.022,16.219,0.078,15.155000000000001,0.019,14.212,0.022,13.852,0.036,15.538999999999998,0.022,14.078,0.026,16.422,0.041,4.685095,0.116775,-1.692596,0.120381,14.848099,15.138811,14.057865,-0.009411,0.117206,109.394686
5.917352,-72.10587,0.0,12.463,0.022,13.379,0.017,15.698999999999998,0.023,15.506999999999998,0.09,15.383000000000001,0.016,15.0,0.034,14.134,0.015,13.113,0.018,12.61,0.033,14.379999999999999,0.014,12.823,0.022,15.604,0.028,4.881186,0.016133,-2.814752,0.018421,13.64317,14.144704,12.933245,0.174945,0.015179,147.208879
5.968635,-72.10538,1.0,12.522999999999998,0.023,13.452000000000002,0.013,15.447,0.017,15.677,0.109,15.162,0.015,15.242,0.041,14.192,0.013,13.169,0.013,12.690000000000001,0.031,14.475999999999999,0.013,12.883,0.019,15.388000000000002,0.016,6.058731,0.022181,-2.320099,0.025913,13.710406,14.184771,12.972089,0.165609,0.021079,105.972011
5.945911,-72.10264,0.0,12.584999999999999,0.025,13.512,0.017,15.905999999999999,0.042,15.692,0.103,15.520999999999999,0.026,15.207,0.041,14.259,0.02,13.225999999999999,0.017,12.751999999999999,0.035,14.555,0.021,12.942,0.026,15.807000000000002,0.041,4.808767,0.042466,-2.726096,0.032147,13.762175,14.199398,13.003314,0.395934,0.03152,115.367033
5.703713,-72.09968,0.0,12.336,0.022,13.247,0.013,15.383,0.015,15.256,0.071,15.081999999999999,0.009,14.783000000000001,0.025,13.919,0.006,12.974,0.013,12.5,0.035,14.256,0.008,12.693000000000001,0.022,15.171,0.009,5.29676,0.012962,-3.019905,0.013387,13.52973,14.061997,12.835489,0.190647,0.012488,360.183157
6.281086,-72.09929,0.0,15.022999999999998,0.029,15.795000000000002,0.017,17.607999999999997,0.072,17.488,0.221,17.366999999999997,0.037,17.164,0.085,16.395,0.019,15.546,0.017,15.128,0.031,16.657,0.014,15.307000000000002,0.026,17.281000000000002,0.052,4.887124,0.048229,-2.367376,0.062692,16.089766,16.480959,15.447693,0.240282,0.041343,292.228199
5.754079,-72.09814,1.0,14.767000000000001,0.019,15.484000000000002,0.016,16.666999999999998,0.038,16.869999999999997,0.161,16.892000000000003,0.024,16.778000000000002,0.083,16.048,0.019,15.265,0.018,14.855999999999998,0.023,16.275,0.021,15.046,0.015,16.516000000000002,0.03,5.547034,0.045069,-2.828162,0.048319,16.045912,16.224955,15.222898,0.164529,0.045541,304.454322
6.142656,-72.09768,0.0,12.385,0.019,13.293,0.013,15.565999999999999,0.023,15.437999999999999,0.083,15.219,0.014,14.975000000000001,0.033,14.001000000000001,0.01,13.014,0.012,12.538999999999998,0.032,14.352999999999998,0.015,12.742999999999999,0.018,15.349,0.017,4.549237,0.044646,-1.785634,0.04903,13.586374,14.071794,12.848651,0.07881,0.040204,144.356342
6.147335,-72.09666,0.0,11.847999999999999,0.016,12.803,0.009,15.139,0.009,15.090999999999998,0.067,14.847,0.007,14.545000000000002,0.026,13.559000000000001,0.007,12.521,0.011,12.035,0.027,13.872999999999998,0.009,12.232,0.019,14.982,0.008,5.493301,0.020432,-2.272404,0.027902,13.129874,13.6505,12.367824,0.234643,0.01999,147.689681
6.672742,-72.09499,1.0,15.552000000000001,0.026,16.292,0.016,17.433999999999997,0.053,17.675,0.236,17.546999999999997,0.041,17.496000000000002,0.096,16.837,0.019,16.067,0.017,15.701,0.034,17.11,0.011,15.850999999999999,0.023,17.262,0.046,5.229424,0.045197,-2.113288,0.048524,16.601223,17.019957,16.009838,0.184517,0.041596,720.235095
6.192605,-72.09357,0.0,12.182,0.019,13.108,0.01,15.325999999999997,0.013,15.239999999999998,0.073,15.020000000000001,0.008,14.77,0.03,13.818999999999999,0.008,12.828,0.012,12.355999999999998,0.028,14.134999999999998,0.01,12.530999999999999,0.019,15.133,0.011,5.697484,0.028934,-2.238987,0.027223,13.445182,13.945209,12.697824,0.10852,0.024324,192.208165
5.88534,-72.09159,1.0,13.203999999999999,0.025,14.049,0.014,15.921999999999997,0.023,16.166999999999998,0.133,15.840000000000002,0.018,15.737000000000002,0.054,14.669,0.01,13.783999999999999,0.015,13.335999999999999,0.03,14.974,0.011,13.531000000000002,0.023,15.751000000000001,0.022,5.302524,0.018262,-3.304932,0.022965,14.337999,14.753871,13.620832,0.186273,0.018731,157.510757
5.907308,-72.09146,0.0,11.182,0.016,12.281,0.01,15.192999999999998,0.015,15.137,0.069,14.699,0.008,14.318000000000001,0.023,13.192999999999998,0.006,11.971,0.009,11.398,0.033,13.518,0.009,11.600999999999999,0.016,15.114,0.014,5.427632,0.015348,-2.647585,0.015754,12.54329,13.190795,11.736679,0.234436,0.015259,133.880116
6.142637,-72.08418,1.0,12.38,0.022,13.299,0.014,15.355,0.024,15.448,0.085,15.189000000000002,0.016,15.007000000000001,0.034,14.012,0.014,13.029,0.019,12.527000000000001,0.026,14.317,0.016,12.751999999999999,0.025,15.199000000000002,0.019,5.329373,0.025138,-2.451226,0.036471,13.652613,14.096269,12.870996,0.179918,0.023009,132.220918
